Enlace,Baños,Área Construida,Antigüedad,Habitaciones,Parqueaderos,Área Privada,Estrato,Administración,Piso N°,Acepta mascotas,Documentación requerida,Estado,Cantidad de pisos,Contrato Mínimo,Precio,Latitud,Longitud
https://www.fincaraiz.com.co/apartamento-en-arriendo-en-la-samaria-ibague/192835440,2,63 m2,1 a 8 años,3,1,60 m2,3,$ 196.000,¡Pregúntale!,¡Pregúntale!,¡Pregúntale!,Usado,¡Pregúntale!,¡Pregúntale!,$ 894.000,4.426997513032,-75.172644554492
https://www.fincaraiz.com.co/apartamento-en-arriendo-en-la-samaria-ibague/192835468,2,56 m2,menor a 1 año,3,¡Pregúntale!,56 m2,3,$ 187.591,¡Pregúntale!,¡Pregúntale!,¡Pregúntale!,Usado,¡Pregúntale!,¡Pregúntale!,$ 972.409,4.4217770752068,-75.171541607904
https://www.fincaraiz.com.co/apartamento-en-arriendo-en-el-salado-ibague/192641366,2,69.00  m2,1 a 8 años,3,1,69.00  m2,3,"$ 210,000.00",¡Pregúntale!,¡Pregúntale!,¡Pregúntale!,¡Pregúntale!,¡Pregúntale!,¡Pregúntale!,$ 762.000,4.4461857,-75.1548884
https://www.fincaraiz.com.co/apartamento-en-arriendo-en-picaleña-y-mirolindo-ibague/192322416,2,74.00  m2,1 a 8 años,3,1,74.00  m2,4,"$ 240,000.00",¡Pregúntale!,¡Pregúntale!,¡Pregúntale!,¡Pregúntale!,¡Pregúntale!,¡Pregúntale!,$ 1.110.000,4.4183293190763,-75.17878662097
https://www.fincaraiz.com.co/apartamento-en-arriendo-en-aparco-ibague/192646191,2,80.00  m2,1 a 8 años,3,1,80.00  m2,4,"$ 281,000.00",¡Pregúntale!,¡Pregúntale!,¡Pregúntale!,¡Pregúntale!,¡Pregúntale!,¡Pregúntale!,$ 1.719.000,4.4062176,-75.1681415
https://www.fincaraiz.com.co/apartamento-en-arriendo-en-santa-ana-ibague/192737003,2,56 m2,9 a 15 años,3,1,50 m2,3,$ 185.000,¡Pregúntale!,¡Pregúntale!,¡Pregúntale!,Usado,¡Pregúntale!,¡Pregúntale!,$ 848.000,4.4441996004139,-75.1660849687
https://www.fincaraiz.com.co/apartamento-en-arriendo-en-picaleña-y-mirolindo-ibague/192812091,2,64 m2,menor a 1 año,3,1,52 m2,3,$ 188.000,¡Pregúntale!,¡Pregúntale!,¡Pregúntale!,Usado,¡Pregúntale!,¡Pregúntale!,$ 1.012.000,4.4148736218517,-75.175191521776
https://www.fincaraiz.com.co/apartamento-en-arriendo-en-picaleña-y-mirolindo-ibague/192610706,2,60.00  m2,9 a 15 años,3,1,¡Pregúntale!,3,"$ 222,000.00",¡Pregúntale!,¡Pregúntale!,¡Pregúntale!,¡Pregúntale!,¡Pregúntale!,¡Pregúntale!,$ 758.000,4.4052521247579,-75.142201306298
https://www.fincaraiz.com.co/apartamento-en-arriendo-en-picaleñita-ibague/192276546,2,63 m2,1 a 8 años,2,¡Pregúntale!,63 m2,2,$ 187.400,¡Pregúntale!,¡Pregúntale!,¡Pregúntale!,Usado,¡Pregúntale!,¡Pregúntale!,$ 512.600,4.3951389965878,-75.127258300781
https://www.fincaraiz.com.co/apartamento-en-arriendo-en-ub-villa-clara-et-ii-ibague/192701583,2,60.00  m2,9 a 15 años,3,1,60.00  m2,3,"$ 190,000.00",¡Pregúntale!,¡Pregúntale!,¡Pregúntale!,¡Pregúntale!,¡Pregúntale!,¡Pregúntale!,$ 710.000,4.4474568,-75.1527595
https://www.fincaraiz.com.co/apartamento-en-arriendo-en-villa-marina-ibague/192747553,2,69 m2,1 a 8 años,3,1,65 m2,3,$ 330.000,¡Pregúntale!,¡Pregúntale!,¡Pregúntale!,Usado,¡Pregúntale!,¡Pregúntale!,$ 789.000,4.4078178,-75.1634725
https://www.fincaraiz.com.co/apartamento-en-arriendo-en-miramar-ibague/192275237,2,64 m2,1 a 8 años,3,1,60 m2,2,$ 140.000,8,¡Pregúntale!,¡Pregúntale!,Usado,8,¡Pregúntale!,$ 750.000,4.4191296,-75.2552332
https://www.fincaraiz.com.co/apartamento-en-arriendo-en-ub-fuente-real-ibague/191793777,2,64.00  m2,9 a 15 años,2,1,64.00  m2,2,¡Pregúntale!,3,¡Pregúntale!,¡Pregúntale!,¡Pregúntale!,3,¡Pregúntale!,$ 850.000,4.4462007,-75.1577607
https://www.fincaraiz.com.co/apartamento-en-arriendo-en-la-samaria-ibague/10862440,2,63.23  m2,menor a 1 año,3,¡Pregúntale!,63.23  m2,3,¡Pregúntale!,12,¡Pregúntale!,¡Pregúntale!,¡Pregúntale!,¡Pregúntale!,¡Pregúntale!,$ 1.100.000,4.42709644978499,-75.17134308815
